ang,ang_err,delta_int,delta_int_stat,delta_int_syst,delta_int_err
0.6108652381980153,0.017453292519943295,0.032799999999999996,0.0028831301659329005,0.0015226767801416897,0.0032605189971068927
0.7155849933176751,0.017453292519943295,0.022199999999999998,0.0022374705530742627,0.001391694678287661,0.002634974108686581
0.7853981633974483,0.017453292519943295,0.016400000000000005,0.001063324958071079,0.0013088038773924576,0.0016863058903812181
0.8377580409572782,0.017453292519943295,0.012799999999999999,0.0011162277660168377,0.0012600926168011375,0.0016833887930432702
0.8726646259971648,0.017453292519943295,0.009400000000000002,0.0007099019513592778,0.0012273410068021592,0.0014178599111061177
0.9075712110370514,0.017453292519943295,0.007800000000000001,0.0005162277660168372,0.0012110444449231028,0.0013164800621300122
0.9424777960769379,0.017453292519943295,0.006599999999999998,0.0004000000000000004,0.0011957593765824538,0.0012608887685616281
0.9599310885968813,0.017453292519943295,0.0049999999999999975,0.0004898979485566351,0.0011908985404759554,0.0012877264203656614
0.9773843811168246,0.017453292519943295,0.005599999999999997,0.0010602325267042624,0.0011896658140850042,0.0015935487943217303
0.9948376736367679,0.017453292519943295,0.006599999999999998,0.0005611767402951557,0.0011957593765824538,0.0013208935689650227
1.0471975511965976,0.017453292519943295,0.011000000000000003,0.0006449489742783175,0.001251634290407486,0.0014080296787875265
1.1344640137963142,0.017453292519943295,0.0586,0.0011051815009825805,0.0018915891834440622,0.0021907842862857775
1.2217304763960306,0.017453292519943295,0.6642,0.023314064982170483,0.011508459401433871,0.025999812764466588
