x,y-3,y-2,y-1,y0,y1,y2,y3
0.3368240620582243,0.03241538946908744,0.03578796244386631,0.03925178989201336,0.04279880000807121,0.046421443025119295,0.05011265955848795,0.05386585050121353
0.339971950488675,0.032304256792607525,0.03566808458481596,0.039123253054129156,0.0426617095129792,0.046275920146570004,0.04995883878400059,0.05370387716208918
0.3431198389191257,0.03219208089690469,0.03554708013059784,0.03899350680792968,0.04252332754024333,0.04612902461840742,0.049803565214974414,0.05354037201948551
0.3462677273495764,0.032078862191001874,0.03542494945635075,0.03886255148510719,0.04238365436880761,0.04598075665783993,0.049646838998250314,0.05337533514163069
0.34941561578002706,0.031964601122726595,0.03530169297680837,0.03873038745750298,0.042242690318094835,0.045831116522672674,0.04948866032118459,0.053208766636999597
0.3525635042104778,0.03184929817995954,0.035177311147582636,0.03859701513842053,0.04210043574934539,0.04568010451266776,0.049329029413026484,0.0530406666557048
0.35571139264092844,0.03173295389190969,0.03505180446647428,0.03846243498396656,0.04195689106698411,0.0455277209709324,0.04916794654632368,0.05287103539091618
0.35885928107137915,0.03161556883041607,0.0349251734748106,0.038326647494419636,0.04181205672001474,0.045373966285335326,0.04900541203835639,0.05269987308030901
0.3620071695018299,0.031497143611276444,0.034797418758810705,0.03818965321562662,0.0416659332034431,0.04521884088995176,0.0488414262526007,0.05252718000754141
0.36515505793228054,0.03137767889560394,0.03466854095097922,0.038051452740428336,0.04151852105972935,0.04506234526653835,0.04867598960022099,0.0523529565037613
0.36830294636273125,0.03125717539121212,0.03453854073152882,0.03791204671011406,0.04136982088026997,0.04490447994603752,0.048509102541593574,0.05217720294914458
0.3714508347931819,0.031135633854028722,0.03440741882983243,0.037771435815906314,0.04121983330691004,0.04474524551011264,0.04834076558785985,0.05199991977446313
0.37459872322363263,0.031013055089538805,0.03427517602590459,0.03762962080047591,0.04106855903348616,0.04458464259271456,0.04817097930251217,0.051821107462685104
0.3777466116540833,0.030889439954258077,0.03414181315191465,0.03748660245948804,0.04091599880740107,0.0444226718816793,0.04799974430301041,0.051640766550607634
0.380894500084534,0.03076478935723683,0.034007331093730206,0.03734238164318027,0.0407621534312302,0.044259334120358984,0.047827061262432545,0.05145889763052137
0.38404238851498473,0.03063910426159531,0.03387173079249299,0.037196959257972534,0.040607023764361115,0.04409463010928507,0.047652930911157104,0.05127550135190973
0.3871902769454354,0.030512385686090417,0.03373501324622665,0.03705033626811062,0.040450610724666124,0.04392856070786553,0.047477354038580846,0.05109057842318108
